comment,label,language
Permi musulod on time.,1,cebuano
Musabot permi sa mga students. Keep it up miss,1,cebuano
dili stricta sa mga students. Thank you miss,1,cebuano
Dako muhatag ug grado,1,cebuano
kugihan mutudlo sa mga students. Keep it up miss Baluarte,1,cebuano
Always enter the class on time,1,english
Understands her students. Keep it up,1,english
She is not a strict teacher to us. Thank you miss,1,english
She is a kind teacher and she make sure that her students understands the lesson,1,english
She is good in teaching and a master of her subject,1,english
ambot lang,0,cebuano
wa koy ma say aning maestraha,0,cebuano
Ok,0,cebuano
k,0,cebuano
ambot,0,cebuano
lol,0,english
yes,0,english
okay,0,english
idk,0,english
???,0,english
"dili kahibaw mutudlo, mura ug di kahibaw sa iyang subject",-1,cebuano
"tapulan pagkamaestra, sige lag hatag buhatonon unya walay klase2",-1,cebuano
magsige lag hatag ug buhatonon unya di magdiscuss,-1,cebuano
murag walay alam,-1,cebuano
Panagsa ra musulod sa klase,-1,cebuano
"She doesn't know how to teacher, she looks like she have no idea on her subject",-1,english
She seldom enter the class,-1,english
She only enters the class sometimes,-1,english
"Not a good teacher, she is not good in her subject",-1,english
She gives a lot of task without discussing them,-1,english
"but.an kaayo nga maestro, thank you sir",1,cebuano
"dali ra ma approach, dili masuko",1,cebuano
"kugihan kaayo mutudlo, keep it up sir",1,cebuano
thank you sir,1,cebuano
Good job,1,cebuano
Kind and good teacher,1,english
he always came into class to teach us. Thank you sir,1,english
he give us high grades,1,english
he is a approachable teacher,1,english
he seldom absent,1,english
Ok,0,cebuano
uwu,0,cebuano
hi,0,english
hello,0,english
hmmm,0,english
murag yabag magstorya usahay,-1,cebuano
walay klaro muhatag ug instructions,-1,cebuano
boring mutudlo hahahah,-1,cebuano
mutopic ug bastos usahay hahaha,-1,cebuano
magpatan.aw rag youtube sa klase usahay nya lag pajud,-1,cebuano
Gives us small grades,-1,english
He does not give clear instructions,-1,english
He does not discuss the lessons properly but instead only show us videos,-1,english
His lessons are sometime irrelevant,-1,english
"He is not a good teacher, he is boring to listen",-1,english
Maayo mutudlo,1,cebuano
Stricta si miss but naa jud kay ma learn,1,cebuano
stricta per makat.on jud ka,1,cebuano
ganahan jud si miss makalearn iyang students,1,cebuano
ganahan kaayo ko nimo miss bisag stricta kayka kay na force jud ko ug kat.on sa lessons hahaha,1,cebuano
she is one of the great teacher in css,1,english
you always make sure that your students understoon the lessons,1,english
good job miss,1,english
she is scary but she teaches the students well,1,english
she is good in teaching especially in her lessons,1,english
ambot,0,cebuano
not sure,0,cebuano
edi wow,0,english
ulol,0,english
wala koy masulti hahahha,0,english
"sobraan ra kaayo ka kastricta miss, mahadlok nami haha",-1,cebuano
ma pressure ang student nimo miss,-1,cebuano
grabe kaayo ka makadala ug pressure sa students miss,-1,cebuano
